-1.04706e-08 -1.01654e-17 -4.10012e-08 -3.81897e-17 -4.10012e-08 -3.81897e-17 -4.10012e-08 -3.81897e-17 0.557888 1 0
-1.33553e-08 1.36545e-17 -4.78042e-08 -2.03771e-17 -4.78042e-08 -2.03771e-17 -4.78042e-08 -2.03771e-17 0.694547 1 0
-1.66818e-08 8.45626e-18 -5.44162e-08 -1.38729e-14 -5.44162e-08 -1.38729e-14 -5.44162e-08 -1.38729e-14 0.864682 1 0
-2.04432e-08 -4.34605e-20 -6.03173e-08 -9.33708e-15 -6.03173e-08 -9.33708e-15 -6.03173e-08 -9.33708e-15 1.07649 1 0
-2.46014e-08 1.65905e-15 -6.49561e-08 -9.14625e-16 -6.49561e-08 -9.14625e-16 -6.49561e-08 -9.14625e-16 1.34019 1 0
-2.90452e-08 -2.29895e-20 -6.78508e-08 -8.29662e-15 -6.78508e-08 -8.29662e-15 -6.78508e-08 -8.29662e-15 1.66848 1 0
-3.35271e-08 7.98555e-22 -6.86472e-08 -1.1396e-15 -6.86472e-08 -1.1396e-15 -6.86472e-08 -1.1396e-15 2.07718 1 0
-3.7617e-08 7.49157e-17 -6.71407e-08 -5.91877e-16 -6.71407e-08 -5.91877e-16 -6.71407e-08 -5.91877e-16 2.586 1 0
-4.07184e-08 -2.13961e-21 -6.33085e-08 6.89205e-16 -6.33085e-08 6.89205e-16 -6.33085e-08 6.89205e-16 3.21946 1 0
-4.2181e-08 1.53994e-15 -5.73896e-08 1.72943e-15 -5.73896e-08 1.72943e-15 -5.73896e-08 1.72943e-15 4.00809 1 0
-4.15156e-08 -1.57682e-15 -4.99266e-08 -8.78182e-17 -4.99266e-08 -8.78182e-17 -4.99266e-08 -8.78182e-17 4.9899 1 0
-3.8631e-08 8.90503e-23 -4.16947e-08 -4.68022e-15 -4.16947e-08 -4.68022e-15 -4.16947e-08 -4.68022e-15 6.21222 1 0
-3.39449e-08 3.24833e-17 -3.35161e-08 -2.41767e-17 -3.35161e-08 -2.41767e-17 -3.35161e-08 -2.41767e-17 7.73395 1 0
-2.82494e-08 -1.88353e-16 -2.60585e-08 1.11486e-15 -2.60585e-08 1.11486e-15 -2.60585e-08 1.11486e-15 9.62844 1 0
-2.24103e-08 -7.61484e-19 -1.97228e-08 2.85484e-16 -1.97228e-08 2.85484e-16 -1.97228e-08 2.85484e-16 11.987 1 0
-1.70997e-08 4.47348e-17 -1.4639e-08 -2.67716e-18 -1.4639e-08 -2.67716e-18 -1.4639e-08 -2.67716e-18 14.9233 1 0
-1.26833e-08 -4.08683e-17 -1.07366e-08 -3.27979e-16 -1.07366e-08 -3.27979e-16 -1.07366e-08 -3.27979e-16 18.5789 1 0
-9.25076e-09 5.16285e-17 -7.83497e-09 -2.04736e-16 -7.83497e-09 -2.04736e-16 -7.83497e-09 -2.04736e-16 23.1299 1 0
-6.71218e-09 -1.34569e-16 -5.71812e-09 -1.64674e-16 -5.71812e-09 -1.64674e-16 -5.71812e-09 -1.64674e-16 28.7957 1 0
-4.89509e-09 3.90963e-17 -4.18368e-09 -1.83466e-16 -4.18368e-09 -1.83466e-16 -4.18368e-09 -1.83466e-16 35.8495 1 0
